id,label,code,name
,dung dịch uống,dung_dich_uong,dung dịch uống
,viên nén,vien_nen,viên nén
,dung dịch truyền tĩnh,dung_dich_truyen_tinh,dung dịch truyền tĩnh
,viên nén bao phim,vien_nen_bao_phim,viên nén bao phim
,viên nén bao tan trong ruột,vien_nen_bao_tan_trong_ruot,viên nén bao tan trong ruột
,viên nang cứng,vien_nang_cung,viê nang cứng
