code,en_name,vn_name
C48323,,Đen
C48333,,Xanh da trời
C48332,,Nâu
C48324,,Xám
C48329,,Xanh lá cây
C48331,,Cam
C48328,,Hồng
C48327,,Đỏ thẫm
C48326,,Đỏ 
C48334,,Màu xanh ve chai
C48325,,Trắng
C48330,,Vàng
